period,Date,crossing.rate
before,03-Mar-13,0
before,29-Mar-13,1.32
before,08-Apr-13,0
before,11-Apr-13,0
before,08-May-13,0
before,13-May-13,0
before,20-Jun-13,0
before,15-Feb-14,0
before,24-Apr-14,1.46
before,31-May-14,2.8
before,08-Jun-14,0
before,09-Jun-14,3.56
before,10-Jun-14,1.32
before,11-Jun-14,2.59
before,09-Oct-14,0
after,15-Feb-15,2.21
after,16-Mar-15,0
after,05-Jul-15,0
after,06-Jul-15,1.31
after,16-Jul-15,0
after,19-Jul-15,1.36
after,21-Jul-15,1.56
after,22-Jul-15,0
after,26-Jul-15,0
after,27-Jul-15,2.99
after,28-Jul-15,1.99
after,29-Jul-15,1.1
after,30-Jul-15,0
after,31-Jul-15,2.55
after,01-Aug-15,4.18
after,02-Aug-15,2.31
after,05-Aug-15,1.35
after,06-Aug-15,2.27
after,07-Aug-15,1.53
after,08-Aug-15,2.26
after,29-Aug-15,2.26
after,25-Sep-15,0
after,26-Sep-15,0
after,28-Dec-15,0
after,03-Jan-16,0
after,04-Jan-16,4.66
after,05-Jan-16,0
after,06-Jan-16,0
after,08-Jan-16,0
after,09-Jan-16,0
after,30-Jan-16,1.26
after,31-Jan-16,1.07
after,01-Feb-16,0
after,27-Feb-16,0
after,28-Feb-16,0
after,29-Feb-16,0
after,05-Mar-16,2.3
after,06-Mar-16,1.88
after,07-Mar-16,0
after,08-Mar-16,0
after,09-Mar-16,0
after,20-Mar-16,4.53
after,10-Apr-16,0
after,11-Apr-16,0
after,12-Apr-16,2.78
after,03-Jul-16,2.93
after,04-Jul-16,4.52
after,06-Jul-16,4.74
after,11-May-16,1.82
after,14-Jul-16,1.94
after,10-May-16,1.85
after,16-Jul-16,0